"Festival","StartDate","EndDate","Place","About"
"46. Fest","23/02/2018","01/03/2018","Beograd","Prvi FEST  pod naslovom Hrabri novi svet otvoren je 9. januara 1971. u Domu Sindikata"
"Hercegnovski filmski festival","01/08/2018","07/08/2018","Herceg Novi","Jugoslovenski filmski festival osnovan je 1986. godine, a danasnji naziv nosi od 2002. godine"
- - -
"Place","Location"
"Beograd","Sava Centar,Velika sala"
"Beograd","Dom sindikata"
"Beograd","Dvorana kulturnog centra BG"
"Beograd","Dom omladine,Velika sala"
"Beograd","Dom omladine,Amerikana"
"Beograd","Centar za kulturu Vlada Divljan"
"Herceg Novi","Kanli kula"
"Herceg Novi","Forte mare"
"Herceg Novi","Amfiteatar hercegnovskog pozorišta"
"Herceg Novi","Atrijum kuće Ive Andrića"
